冬虫夏草的入药方剂：
猪脂膏的入药方剂：
马齿苋散
巴豆膏
白术的入药方剂：
款冬白薇茹(艹虑)丸
收带六合丸
天麻白术丸
去湿化痰汤
当归活血汤
恒山汤
地黄饮子
杀鬼烧药方
滋阴降火清肺养脾丸
正气饮
桔梗的入药方剂：
清瘟败毒饮
血府逐瘀汤
参苏理肺丸
败毒荆防汤
天保丸
通气散坚丸
万应神曲
祛风除湿汤
四君子汤
茱萸散
麋茸的入药方剂：
地榆饮
附子鹿茸丸
黄犬肉丸
梅茸丸
麋脐丸
既济补真丹
保寿丸
麋茸万病丸
扶羸黑白丹
胡芦巴丸
麻黄根的入药方剂：
红豆散
桂枝参耆煎
麻黄蛇床子粉
四神散
三节汤
当归二黄汤
芎䓖粉
一扫光
漏风汤
明目细辛汤
五加皮的入药方剂：
舒筋活血洗剂
金刚活络丹
牛膝丹参酒
消风除湿汤
仙茅酒
普救万全膏
润肠丸
伸筋膏
秘药方
骨科外洗二万
手参的入药方剂：
解毒养阴汤
荜茇的入药方剂：
神妙沉香丸
吴茱萸散
羊肉方
红水眼药
立止牙疼药
牛肉脯
牙疼药
太平散
大蒜煎
冠心灵
虾蟆的入药方剂：
龙骨粉膏
八珍汤
内造伏虎丹
拔毒膏药
立消神效膏
神效乌金散
止痒散
爬口蜈蚣方
砒霜散
益脑散
手掌参的入药方剂：
西洋参的入药方剂：
益气清肺缓肝丸
加味益营煎
阿胶鳖甲汤
加减玉竹饮子
参珀茯神汤
加减清心莲子汤
心脾双补丸
跌打养营汤
解毒养阴汤
参茸三肾粉
何首乌的入药方剂：
疮痈消毒饮
首乌合剂
滋阴种子丸
黑发仙丹
养血舒筋汤
加味清肝开窍汤
驱邪散
黑发香头油
补骨丹
延年益寿不老丹
月季花的入药方剂：
助孕汤
月季花汤
月季花汤
山羊肉的入药方剂：
蓬蘽的入药方剂：
肉桂的入药方剂：
止痛药
秘方十补丸
三清丸
虎骨熊油膏
疝气内消丸
展阳神丹
许真君如意丹
莶薢金银散
秦艽鳖甲散
鸡肉膏
五味子的入药方剂：
肉苁蓉汤
九子地黄丸
滋阴降火清肺养脾丸
生脉散
平喘固本汤
开心薯蓣肾气丸
珠母补益方
人参养荣汤
安神补心丸
地黄青娥汤
鹿衔草的入药方剂：
凉血清燥汤
骨质增生丸
助孕汤
延龄广嗣仙方
解酲丸
五草汤
咳嗽散
乙肝解毒汤
巴戟天的入药方剂：
连翘消肿汤
补肾固冲丸
展阳神丹
健脾丸
巴戟天酒
润肠丸
肾炎汤Ⅱ号
补肾熟干地黄丸
强心汤
缩泉汤
柘木白皮的入药方剂：
北沙参的入药方剂：
养胃增液汤
一贯煎
补肺清肺化痰汤
骨髓丸
滋补肝肾汤
金水八物汤
培坤丹
化(疒咅)清肺汤
心咳汤
培坤丸
狗骨的入药方剂：
钓钩藤散
蠲脊散
八骨散
退创散
风顶
干漆丸
石斛的入药方剂：
养胃增液汤
滋阴健脾丸
牛膝丹参酒
增液承气汤
伐木汤
润肠丸
肾风苁蓉丸
养液通痹汤
洋参麦冬汤
虎骨膏
胡颓子叶的入药方剂：
胡颓子叶
天花粉的入药方剂：
通气散坚丸
仙方活命饮
消肿通气汤
观音救苦神膏
通窍排脓汤
引兵先锋
通乳涌泉散
活命饮
消毒饮
救急汤
赤石脂的入药方剂：
治要茯苓散
牛角(角思)散
掺药方丹
石膏崇命汤
九物牛黄丸
紫石寒食散
黑膏药
茯苓石脂汤
毓麟固本膏
附子鹿茸煎
猪肾的入药方剂：
磁石肾羹
煨肾附子散
菖蒲羹
人参补肾汤
磁石荠苨丸
牵牛丸
补中益肾汤
调经散
茴香角子
地黄叶猪肾羹
铁马鞭的入药方剂：
散血消核汤
九金六马散
续骨散
嗍骨散
蠲脊散
退创散
轻脚散
二马散
马鞭散
土白芨的入药方剂：
鸡肝的入药方剂：
鸡肝药
壮阳丸
鸡肝粥
益元煎
雄鸡肝桂心方
四雄丸
曲囊丸
桂肝丸
乌鸡肝粥
消疳鸡肝散
小黑药的入药方剂：
刺五加的入药方剂：
狗肉的入药方剂：
狗肉粥
熟附煨姜焖狗肉
红烧狗肉
狗肉炖黑豆
参杞狗肉
壮阳狗肉汤
附姜煨狗肉
壮阳狗肉汤
龙眼的入药方剂：
琥珀养心汤
龙眼汤
龙眼酒
桂枝丹皮首乌汤
茯神镇惊汤
神掌膏
徐国公仙酒
延寿酒
到圣散
秘传膈噎膏
燕麦草的入药方剂：
小麦的入药方剂：
甘麦大枣汤
滑石膏
新加甘麦大枣汤
小曲散
范志神曲
缓和剂
小麦曲粥
千金竹茹汤
马齿苋粉
当归百合汤
黄耆的入药方剂：
一见消
紫根牡蛎汤
复肝丸
白术黄耆汤
解毒地黄丸
秘方十补丸
益智子散
生脉健脾汤
白药
当归六黄汤
乌骨鸡的入药方剂：
万金水澄膏
专翕大生膏
秘旨乌骨鸡丸
移毒散
驱毒散
天根月窟膏
凤雏丸
劳伤药酒
白及散
虫草乌鸡
山稗子的入药方剂：
大枣的入药方剂：
桂枝附子汤
肉苁蓉汤
半夏泻心汤
柴胡加龙骨牡蛎汤
甘麦大枣汤
小柴胡汤
补肾固冲丸
桂枝麻黄各半汤
猪苓汤
治要茯苓散
鲜地黄的入药方剂：
生津止嗽膏
地骨膏
地黄膏
京大戟的入药方剂：
牛肺的入药方剂：
枸杞叶的入药方剂：
枸杞散
神仙服百花方
枸杞粥
枸杞羊肾粥
三石猪肾羹
枸杞羹
枸杞汁点眼方
猪肾羹
枸杞叶羹
点眼枸杞煎
绞股蓝的入药方剂：
白沙糖的入药方剂：
透天一块冰
千里水壶芦
炒面
沙糖黄连膏
莲米散
白雪糕
香橙饼
玉露酒
血淋散
醍醐膏
天水蚁草的入药方剂：
肉豆蔻的入药方剂：
真人养脏汤
四神丸
神妙沉香丸
济世丹
沉香降气散
青黛木香丸
木香神曲丸
保真种子膏
通胃散
朱砂三棱丸
楮实的入药方剂：
补肾腽肭脐丸
长春散
补益甘草丸
杜煎鹿角胶
附子苁蓉丸
洗面香皂丸
神仙巨胜子丸
参桂百补丸
治浊子午丸
补肾鹿茸丸
龙眼肉的入药方剂：
枣仁远志汤
归脾汤
大补二天膏
清肝抑火汤
资生通脉汤
补益消癌汤
补心酒
养神膏
龙眼肉粥
安神养血汤
核桃仁的入药方剂：
合手香
培坤丹
鹿肾丸
培坤丸
福幼理中丸
敦复汤
灵乌二仁膏
去斑膏
润肌皮肤膏
耳底八宝油
核桃仁的入药方剂：
芜菁子的入药方剂：
加味益气汤
桃仁藻豆
瓜子散
芜菁散
补肝芜菁子散
芜菁子散
芜菁子粥
香茅的入药方剂：
鸡舌香散
萆薢的入药方剂：
牛角(角思)散
牛膝丹参酒
莶薢金银散
润肠丸
养液通痹汤
金精老奴丸
锡磷脂丸
补肾熟干地黄丸
天麻汤
固元丹
关白附子的入药方剂：
枸杞子的入药方剂：
当归活血汤
九子地黄丸
壮腰健肾汤
滋阴降火丸
补肾固冲丸
补天大造丸
长生保命丹
定坤丹
松花膏
祛风地黄丸
淫羊藿根的入药方剂：
鹿角的入药方剂：
补肾固冲丸
加减黑神散
定坤丹
吴茱萸散
毓麟固本膏
鹿角屑汤
生乳丸
二至丸
鹿角菟丝丸
鹿角霜饮
白薇的入药方剂：
款冬白薇茹(艹虑)丸
三清丸
疥疮搽药
正阳汤
加减葳蕤汤
白薇十味丸
杀虫丹
乌头续命丸
丙种宝月丹
羌活蠲暑饮
猪肚的入药方剂：
猪肚炙方
猪肚糜方
熟猪肚方
雄猪肚丸
猪肚大蒜汤
猪肚黄连丸
猪肚羹
健猪肚
制猪肚
猪肚膏
兔肝的入药方剂：
菥蓂子丸
羌菊丸
浮翳坠翳丸
兔肝散
兔肝粥
堕翳丸
还睛丸
蜜蜡的入药方剂：
杀鬼烧药方
薤白饼
家方黄膏
八味蜡矾丸
绛珠膏
立效丸
黑龙丹
芡实的入药方剂：
芡实粥
辟谷散
干姜散
六神粥
人参蛤蚧丸
强心汤
健脾止泻汤
疳积膏
茯苓丸
芎䓖汤
金腰带的入药方剂：
劳伤药酒
黍米的入药方剂：
正心丸
松脂酝酒
补天膏
黍米汤
桂心橘皮汤
金黄丸
搐药瓜蒂散
太乙神应丸
五五酒
防风酒
鳝鱼的入药方剂：
鳝鱼酒
尾灵丹
大增力丸
立验膏
归参鳝鱼汤
蛤蚧的入药方剂：
人参蛤蚧散
人参蛤蚧丸
内造伏虎丹
海马保肾丸
补天育麟丹
九阳丹
育龟丸
朱砂煎
真传腽肭脐丸
地黄膏子丸
天麻的入药方剂：
天麻白术丸
天麻钩藤饮
万应神曲
小儿七珍丹
虎骨熊油膏
补血荣筋丸
和中止眩丸
大牛黄丸
半夏白术天麻汤
大四斤丸
忍冬藤的入药方剂：
散风除湿活血汤
紫草油
苏方木散
散血瓜蒌散
梅花饮子
银花饮
仙传午时茶
加味十宣散
定变回生汤
感冒汤1号
鹿肾的入药方剂：
参茸补肾丸
鹿肾丸
参茸三肾粉
三肾丸
复肾散
保真种玉丸
鹿肾粥
淡菜的入药方剂：
阿胶鳖甲汤
女贞汤
秘制白带丸
五色戒烟丸
复肾散
小定风珠
滋肾汤
益阴养荣膏
松花淡菜粥
芹菜煲淡菜
木蝴蝶的入药方剂：
滋阴汤
人参果的入药方剂：
马兜铃的入药方剂：
补肺阿胶汤
杏胶饮
人参款冬花膏
补肺清肺化痰汤
清肺丸
温脐兜肚方
止咳丸
款花五味子汤
消气丸
定喘款气丸
莓叶委陵菜的入药方剂：
狼肉的入药方剂：
炒狼汤
大肺筋草的入药方剂：
木耳的入药方剂：
护心丸
便血丸
熟猪肚方
桑木耳散
乌龙解毒散
雄黄暖膏药
补血救亡汤
五色串
妙济丹
槐耳汤
桑椹的入药方剂：
滋阴种子丸
消癌片
三精丸
黑发香头油
黑须仙丹
祛湿健发汤
生髓育麟丹
菊花芍药汤
生熟地黄汤
还少乳乌丸
桑螵蛸的入药方剂：
连翘消肿汤
解毒地黄丸
牛角(角思)散
金精老奴丸
天麻乌蛇丸
补肾腽肭脐丸
乌鸡白凤丸
补肾明目丸
沉香续断丸
螵蛸汤
水獭肝的入药方剂：
消痞五疳丸
独叶白芨的入药方剂：
峨参的入药方剂：
女贞子的入药方剂：
珠母补益方
安神补心丸
凉血清燥汤
伐木汤
滋补肝肾汤
生发一号丸
保肝利胆汤
女贞汤
地黄二至丸
大补真阴汤
神曲的入药方剂：
苍附导痰丸
紫色消肿膏
竹沥化痰丸
三清丸
发火汤
解毒化滞汤
砂仁散
香砂养胃汤
开胃进食汤
黄耆白术散
钟乳石的入药方剂：
八宝寄秘散
寒食散
海马保肾丸
夺命紫金丹
五宝丹
加味五宝丹
卢同散
加味化毒丹
珍珠丹
太一金锁丹
荔枝的入药方剂：
荔枝粥
三元秘方
荔枝橘核汤
八仙茶
镇怯丸
益肝煎
荔枝散
回春酒
元红散
糖枣荔圆
竹叶的入药方剂：
清瘟败毒饮
银翘散
生地丹参汤
柴胡四物汤
通草汤
菖蒲郁金汤
滋肾活血汤
增损黄芩汤
加减金锁固精汤
芩术枳壳汤
伸筋草的入药方剂：
舒筋活血洗剂
活血舒筋汤
伸筋草洗方
化瘀通络洗剂
舒筋活血洗方
坚骨壮筋膏
养血荣筋丸
麻黄温痹汤
化坚油
益阴治痨方
补骨脂的入药方剂：
壮腰健肾汤
疝气内消丸
地黄青娥汤
牛角(角思)散
四神丸
肾炎汤Ⅱ号
千金固肾丸
补肾熟干地黄丸
人参蛤蚧丸
复方补骨脂酊
泥鳅的入药方剂：
沃焦散
泥鳅炖豆腐
溪黄草泥鳅汤
白及的入药方剂：
乌须神妙方
内消连翘丸
神效回生膏
白粉散
白玉膏药
消癌片
虎骨膏
溃疡丸
一枝箭
五虎膏
藕的入药方剂：
刺蓟饮子
保肺雪梨膏
梨膏
韭汁牛乳饮
藕粥
养老膏
葡萄煎
黑豆煎
生益母草饮
五汁安中饮
牡狗阴茎的入药方剂：
刀豆的入药方剂：
虎杖散
加味和胃止痉汤
宣中降逆汤
刀豆散
溃疡汤
沉香丸
知母的入药方剂：
清瘟败毒饮
款冬白薇茹(艹虑)丸
辛夷清肺饮
滋阴降火清肺养脾丸
知母丹
人参蛤蚧散
解毒地黄丸
滋阴降火丸
治要茯苓散
人参化斑汤
薤白的入药方剂：
五痨麝香散
瓜蒌薤白白酒汤
枳实薤白桂枝汤
拨粥
胸膜炎汤2号
艾叶丸
生肉地黄膏
野葛贴
蛇衔生肉膏
阿胶膏
杭白菊花的入药方剂：
白杨树根皮的入药方剂：
砂仁的入药方剂：
万应神曲
补肾固冲丸
丹参饮
仙人饮
理气调荣汤
香砂六君子汤
健胃止呕散
砂仁散
平顺散
香砂养胃汤
茯神木的入药方剂：
羚角钩藤汤
麻菊二陈汤
阿胶鸡子黄汤
羚角钩藤汤
驴阴茎的入药方剂：
大金钱草的入药方剂：
金箔的入药方剂：
安宫牛黄丸
菖蒲饮
长生不老丹
宁心丹
镇心膏
金箔牛黄丸
辟邪丹
冲虚至宝丹
宁神丹
叶氏痫症丸
牛髓的入药方剂：
羌活补髓丸
天门冬煎丸
牛髓补虚寒丸
补精膏
填骨万金煎
枸杞子煎
膏髓酒
髓煎
鹿髓煎丸
面膏
人参叶的入药方剂：
穿破石的入药方剂：
野鸦椿子的入药方剂：
鹭鸶兰的入药方剂：
山茱萸的入药方剂：
开心薯蓣肾气丸
三清丸
加味肾气丸
地黄青娥汤
健脾丸
通络丸
大补二天膏
双补地黄丸
耳鸣丸
填精止血汤
紫河车的入药方剂：
补天大造丸
加味四圣膏
河车回天丸
河车八味丸
贺兰先生解毒丸
加减补天大造丸
中正丸
党参膏
还原再造丹
润喉散
甜杏仁的入药方剂：
阿胶黄芩汤
止嗽清宣丹
降气和络饮
五仁橘皮汤
杏仁粉
洞天酥香膏
清络饮加甘桔甜杏仁麦冬汤
和解宣化汤
七巧汤
三仁粥
双参的入药方剂：
伏龙肝的入药方剂：
卷柏阿胶散
地黄煎丸
秘方龙骨丸
无忧解毒丸
川芎阿胶汤
明胶散
回生养胃丹
救命神朱丸
小蓟根汤
云母芎䓖散
白豆的入药方剂：
白豆散
沉香阿魏丸
清肝去翳丸
壅药
灵妙饮
丁香阿魏丸
秘方三棱煎丸
人参益肺散
保婴济痘神丹
桂红丸
巴旦杏仁的入药方剂：
泽泻的入药方剂：
去湿化痰汤
九子地黄丸
六味地黄丸
茯苓栀子茵陈汤
加味肾气丸
地黄青娥汤
猪苓木通汤
止痛如神汤
茯苓小泽泻汤
泻肾槟榔散
五倍子的入药方剂：
黑布药膏
乌须神妙方
伸筋膏
消石粉散
观音救苦神膏
活络膏
皮癣膏
消肿止痛散
汝言化痰丸
加减金锁固精汤
益智仁的入药方剂：
香砂六君子汤
益胃汤
交加散
收束散
正心丸
阴痧急救膏
益智二伏汤
人参蛤蚧丸
固元丹
缩泉饮
丁香的入药方剂：
健胃丁香散
益智子散
秘方消痞膏药
香发散
豆蔻煮散
二丁丸
独效苦丁香散
止痛二姜丸
人参附子汤
守灵散
天南星的入药方剂：
天麻白术丸
小活络丹
青梅丸
大牛黄丸
回阳发表汤
锡磷脂丸
真方白丸子
地黄粥
大活络丹
鸡眼膏
礞石的入药方剂：
红灵丹
朱砂滚痰丸
镇癞宁心丸
痔漏大灵药
叶氏痫症丸
钓痰仙方
水银煎
八宝红灵丹
沉香化痰丸
积气丹
蜂蜜的入药方剂：
黑布药膏
明目熊胆膏
溃疡丸
疖肿膏
细辛皂刺栓
舒筋活络药膏
琥珀蜡矾丸
萝卜膏
炒面
地参菊花汤
胡荽的入药方剂：
立效饮
胡荽酒
胡荽饮
胡荽汤
胡荽饼
赤糊饼
胡荽根汁
葵根饮
胡荽酒
当归汤
紫苏梗的入药方剂：
和气安胎汤
分心气散
加减仓公下气汤
加减香苏散
定乱丸
壮胃清温热调滞气汤
舒气散
二陈汤
干葛石膏汤
分气饮
决明子的入药方剂：
九子地黄丸
瞿麦汤
牡丹粥
张武经大明丸
泻肝前胡汤
开明丸
镇肝决明丸
洗眼决明汤
决明子点方
洗眼生地黄汤
糯稻根须的入药方剂：
原蚕蛾的入药方剂：
加味七子丸
海藻丸
赵氏加味六子丸
七子丸
豆蒸丸
小肉苁蓉散
玉杖丸
原蚕蛾散
助阳丸
白僵蚕丸
猫肉的入药方剂：
圆肉党参炖猫肉
续断的入药方剂：
止痛药
补肾固冲丸
健脾丸
松寄生散
损伤膏
健脾补肾汤
沉香断红丸
健脾固本药酒
先天补胎丸
保真种子膏
肥皂荚的入药方剂：
肥皂荚丸
广毒至灵丹
立止丸
无食膏
甘草的入药方剂：
清瘟败毒饮
款冬白薇茹(艹虑)丸
收带六合丸
去湿化痰汤
当归活血汤
养胃增液汤
辛夷清肺饮
调胃承气汤
苓桂丹参汤
血府逐瘀汤
茯苓的入药方剂：
收带六合丸
去湿化痰汤
当归活血汤
苓桂丹参汤
参苏理肺丸
恒山汤
地黄饮子
天保丸
九子地黄丸
六味地黄丸
牡蛎的入药方剂：
紫根牡蛎汤
蛇毒膏
柴胡加龙骨牡蛎汤
牡蛎奔豚汤
枸杞根饮
秘传龙骨锁精丹
侧柏地榆汤
石膏崇命汤
二门冬饮
调神攻坚汤
麦冬的入药方剂：
一贯煎
滋阴降火清肺养脾丸
生脉散
荡涤饮
润喉汤
展阳神丹
枣仁远志汤
滋阴健脾丸
加味越婢加半夏汤
清火涤痰汤
白果的入药方剂：
白果蛋方
黑发仙丹
莱菔散
驱邪散
银杏汤
癣药酒
易黄汤
黑须仙丹
平喘宁
止嗽清宣丹
天葵子的入药方剂：
五味消毒饮
瘰疬疏肝丸
五味消毒化疔饮
橹罟子的入药方剂：
韭菜子的入药方剂：
延龄固本丸
固精益肾暖脐膏
琼浆药酒
壮阳丸
遗精丸
培元益寿膏
天仙烟
戒鸦片烟瘾方
滋阴益肾暖精丸
十香暖脐膏
韭子的入药方剂：
牛角(角思)散
千金固肾丸
金精老奴丸
韭子鹿茸丸
沉香内补丸
接骨至宝七厘散
鹿角霜饮
金锁固阳膏
川方五子丸
加味八味汤
熊胆的入药方剂：
眼科八宝散
明目熊胆膏
玉壶冰
红玉膏
冰片散
莨菪膏
鹅管眼药
光明眼药
梅片点舌丹
天开丹
葫芦巴的入药方剂：
沉香猪肚丸
补肾石斛丸
沉香内补丸
人参平补汤
牛膝苁蓉丸
接气丹
回阳无价至宝丹
加减回阳救急汤
独活散
仙传秋石配合十精五子丸
五指毛桃的入药方剂：
使君子的入药方剂：
万应神曲
(鱼帝)鱼丹
取虫丸
黄连除(匿虫)丸
疳积膏
下虫丸
红衣大炮
香莲丸
猎虫丸
集虫丸
胡芦巴的入药方剂：
锡磷脂丸
舶上茴香丸
天仙丸
狗脊丸
宽中理气丸
培坤丹
受拜茴香丸
木香导气丸
延寿内固丹
橘核疝气丸
球兰的入药方剂：
独一味的入药方剂：
芋儿七的入药方剂：
虎肉的入药方剂：
珍珠膏
虎脂平胃丸
虎肉炙方
雀卵的入药方剂：
雀卵菟丝丸
草苁蓉的入药方剂：
桑叶的入药方剂：
桑菊饮
沙参麦冬汤
栀子香豉淡竹叶汤
消石粉散
黑发仙丹
羚角钩藤汤
养液通痹汤
水痘汤
驱邪散
防风解温汤
桂枝的入药方剂：
苓桂丹参汤
桂枝附子汤
正气饮
柴胡加龙骨牡蛎汤
茯苓桂枝白术甘草汤
万应神曲
养心汤
桂枝麻黄各半汤
桂枝柏叶汤
桃核承气汤
丝瓜藤的入药方剂：
银翘辛夷汤
展轮四维饮
天萝散
西来甘露饮
银翘辛夷汤
羊外肾的入药方剂：
金莲种玉丹
松花粉的入药方剂：
哮喘金丹
甘石散
十大功劳叶的入药方剂：
关节炎汤2号
凤凰衣的入药方剂：
三退纸
铁笛丸
吹喉凤衣散
凤衣散
生发软膏
青凤散
青凤散
白及散
凤衣散
凤衣散
红豆蔻的入药方剂：
妇女紫金丹
补脾藿香散
建中丸
西洋药酒
红豆蔻丸
反胃降逆丹
红豆蔻散
麝香化积丹
藿香丸
紧皮丸
酸枣仁的入药方剂：
酸枣仁汤
珠母补益方
牛黄安神丸
中正汤
归脾汤
柏子养心丹
加味归脾丸
琥珀养心丹
养血安神汤
天王补心丸
四叶参的入药方剂：
粉背蕨的入药方剂：
藿香的入药方剂：
甘露消毒丹
氤氲汤
正气饮
益智子散
消暑十全散
太和汤
逍遥散
人参半夏丸
丁香生胃散
香砂养胃汤
香橼的入药方剂：
消臌万应丹
香橼膏
止嗽太和丸
香椽甘蔗汤
胃气痛丸
鸡金散
木通汤
百果酒
陈香橼散
治臌香橼丸
干地黄的入药方剂：
肉苁蓉汤
开心薯蓣肾气丸
解毒地黄丸
秘方十补丸
牛膝丹参酒
乳香含化丸
中正汤
地黄艾叶汤
沉香断红丸
卷柏阿胶散
韭菜的入药方剂：
分湿消毒至神丹
韭汁牛乳饮
内造伏虎丹
再造丹
神仙金不换膏
立消神效膏
九制松香膏
八仙滋补丹
韭菜汁
溯源散
薏苡仁的入药方剂：
荨麻疹汤
牛膝丹参酒
薏苡仁饭
升清降浊汤
薏苡附子败酱散
薏仁汤
芡实粥
辟谷散
薏苡败酱汤
肾炎汤Ⅱ号
松节的入药方剂：
吴茱萸散
活血舒筋汤
生虎骨丸
麻风药酒
降真龙骨散
加味益心汤
牛膝木瓜汤
熊胆散
白虎骨酒
松枝酒
附子的入药方剂：
天麻白术丸
地黄饮子
桂枝附子汤
姜附御寒汤
养心汤
益智子散
千金夺命鳖牙膏
加味肾气丸
生附子汤
展阳神丹
千金子的入药方剂：
六岁墨
皮癣水
仙方膏
二号癣药水
椒目丸
神仙保命丹
太乙紫金片
赤金锭
经验蟾酥五疳丸
仙传三妙膏
猪肝的入药方剂：
豮猪肝丸
决明夜灵散
牡丹粥
猪肝枸杞酒
猪肝脯
神授乌金散
豮猪肝贴眼方
蝉蜕猪肝散
清明丹
煨猪肝方
预知子的入药方剂：
乳香煎
正阳茴香丸
预知子丸
预知丸
应真丸
秘方琥珀膏
茴香丸
琥珀膏
预知子圆
桃花的入药方剂：
神仙服百花方
降香桃花散
桃花水
桃花汁
百花如意酣春酝
青花丹
傅春散
露桃花散
清花丹
玉屑面脂
冬瓜皮的入药方剂：
板蓝根汤
保肝利胆汤
湿疹汤
加减五皮饮
肾炎汤Ⅰ号
多皮饮
利水调经汤
加减十皮饮
茄柯汤
消风脱甲散
天门冬的入药方剂：
二门冬饮
大补阴膏
紫苏膏
润肠丸
阴阳二气丹
滋阴种子丸
正心丸
千里水壶芦
补天大造丸
生血润燥汤
丝绵的入药方剂：
先天补胎丸
正诚丹
长肌散
蘘荷的入药方剂：
鼓皮汤
败鼓皮散
夜光露
生牛膝漱口煎
五蛊汤
八物茜根汤
鲛鱼皮散
蘘荷汤
蘘荷根汤
蘘荷散
胡椒的入药方剂：
外敷麻药
麻药散
下瘀血方
羊肉方
红豆丸
红水眼药
褐丸子
胡椒饼
通胃散
小青木香丸
夜交藤的入药方剂：
天麻钩藤饮
安神补心丸
菊花芍药汤
安眠汤
通络益气丹
神衰汤
复方桑椹膏
甲乙归藏汤
夜交藤粥
舒安汤
狼毒的入药方剂：
菖蒲膏
大黄附子丸
狼毒膏
三仙丹药膏
狼毒散
狼毒洗剂
乌头五灵脂丸
百部洗方
黑附子丸
金凤丹
胡桃仁的入药方剂：
三金胡桃汤
红颜酒
揩齿胡桃灰散
止息汤
五味补骨脂丸
紫草丸
长春真人保命丹
滋阴百补药酒
七珍丸
凌阳子木香丸
干姜的入药方剂：
消肿止疼药膏
苓桂丹参汤
地黄饮子
少腹逐瘀汤
半夏泻心汤
姜附御寒汤
甘草干姜茯苓白术汤
养心汤
千金夺命鳖牙膏
青要结肠丸
藕粉的入药方剂：
八仙藕粉
养元藕粉
磨光散
观音茶
八珍丹
人红丸
香砂藕粉糊
豆油藕粉糊
八仙藕粉
藕粉羹
硫黄的入药方剂：
疥疮药
肾囊风油膏
疥疮一扫光
逐虫丸
八威灵散
莨菪膏
皮癣膏
藜芦软膏
疥疮膏
顺气汤
柏子仁的入药方剂：
三清丸
展阳神丹
中正汤
柏子养心丹
通经散
琥珀养心丹
养血安神汤
天王补心丸
韭子鹿茸丸
养阴柏子丸
鸡血藤的入药方剂：
复肝丸
凉血活血汤
散风除湿活血汤
五味活血汤
定坤丹
养心理脾解郁清肺缓肝丸
温经通络汤
百损丸
骨质增生丸
蜈蚣矫正饮
白茅根的入药方剂：
凉血活血汤
荨麻疹汤
肾炎汤Ⅱ号
白茅根饮子
犀角地黄丸
保肺雪梨膏
麻风药酒
白茅散
凉血五根汤
排石汤
仙茅的入药方剂：
仙茅酒
夺命象皮丸
竹茹汤
鹿茸大补丸
无比膏
仙茅散
神效鹿胎丸
仙茅大益丸
赞育丹
壮阳丸
见血清的入药方剂：
金刚接骨丹
金刚活血酒
紫苏子的入药方剂：
紫苏膏
五子散
木香分气汤
调中健脾丸
乌药平气汤
三子养亲汤
沉香大腹皮散
止嗽清宣丹
麻子苏子粥
法制化痰丸
