脾阴虚证,资生丸
脾阳虚证,小建中汤
脾阳虚证,附子理中汤
脾阳不足证,右归饮
脾阳不足证,健固汤合四神丸
脾阳不足证,右归饮
脾阳不振证,温清止泄汤
脾阳虚衰证,益黄散
脾阳虚衰证,实脾饮
脾虚气滞证,香砂六君子汤加减
脾虚气滞证,快脾丸
脾虚气滞证,下气汤
脾虚气滞证,六君子汤
脾虚气滞证,归脾汤
脾虚气滞证,沉香降气汤
脾虚湿热证,易黄汤
脾虚湿热证,治子肿方
脾虚湿热证,补中益气汤
脾虚湿热证,八珍汤
脾虚湿阻证,黄芪防己汤
脾虚湿阻证,六君子汤
脾虚湿阻证,益肾蠲痹丸
脾虚湿阻证,补中益气丸
脾虚湿阻证,参苓白术丸
脾虚湿蕴证,除湿胃苓汤
脾虚湿蕴证,参苓白术散
脾虚湿蕴证,小儿化湿汤
脾虚湿蕴证,芎归二术汤
脾虚湿困证,四君子汤
脾虚湿困证,平胃散
脾虚湿困证,二陈汤
脾虚湿困证,小半夏汤
脾虚湿困证,苓桂术甘汤
脾虚湿困证,参苓白术散
脾虚湿困证,黄芪补中汤
脾虚湿困证,托里消毒散
脾虚湿困证,补中益气汤
脾虚湿困证,防己黄芪汤
脾虚湿困证,六君子汤
脾虚湿困证,茵陈理中汤
脾虚湿困证,经验方
脾虚痰盛证,六君子汤
脾虚水泛证,苓桂术甘汤
脾虚水泛证,五苓散
脾失健运证,不换金正气散
脾气郁结证,归脾汤
脾经风热证,内疏黄连汤
脾经湿热证,赤豆当归散
胃寒证,理中丸
胃寒证,厚朴温中汤
胃寒证,良附丸
胃寒证,黄芪健中汤
胃实寒证,厚朴温中汤
胃热炽盛证,凉膈散
胃热炽盛证,玉女煎
胃热炽盛证,泻心汤
胃热炽盛证,承气汤
胃热炽盛证,犀角地黄汤
胃热炽盛证,清凉饮子
胃热炽盛证,人参汤
胃热气逆证,黄连温胆汤
胃火炽盛证,加味清胃散
胃火炽盛证,泻心汤
胃火炽盛证,起痿至神汤
胃火上逆证,竹叶石膏汤
胃气虚证,理中汤
胃气虚证,香砂六君子汤
胃气虚证,异功散
胃气虚证,如圣金刀散
胃气虚证,离宫锭
胃气虚证,安胎饮
胃气虚证,补中益气汤
胃气虚证,宽带汤
胃气虚证,六君子汤
胃气虚证,参苓白术散
胃气虚证,滋肾丸
胃气虚证,四君子汤
胃气虚证,六君子汤
胃气虚证,丁沉四君子汤
胃阴虚证,益胃汤
胃阴虚证,橘皮竹茹汤
胃阳虚证,理中汤
胃阳虚证,理中丸
胃阳虚证,甘草干姜汤
胃阳虚证,黄芪建中汤
胃阳虚证,小建中汤
食滞胃脘证,保和丸
食滞胃脘证,调胃承气汤
胃气不和证,使君子丸
胃气不和证,益黄散
胃气不和证,半夏泻心汤
胃气上逆证,良附丸
胃气上逆证,左金丸
胃气上逆证,保和丸
胃气上逆证,枳实导滞丸
胃气上逆证,旋覆代赭汤
胃气上逆证,温胆汤
胃气上逆证,麦门冬汤
胃气上逆证,半夏泻心汤
