匙叶草的入药方剂：
桃灵丹
失笑散
锡磷脂丸
紫砂丹
攻坚败毒膏
蛇咬解毒丹
血藤的入药方剂：
金刚活血酒
妇女止痛酒
跌打损伤膏
蠲风饮子
狗骨的入药方剂：
钓钩藤散
蠲脊散
八骨散
退创散
风顶
干漆丸
飞天蜈蚣的入药方剂：
浸毒散
四圣丹
鬼箭羽的入药方剂：
杀鬼烧药方
水蛭散
辟邪丹
九江散
荷叶散
杀鬼麝香丸
温经通络汤
阿魏散
犀香丸
赤小豆丸
光慈姑的入药方剂：
急性子的入药方剂：
龟龄集
桃花丹
活水无忧散
温煦丹
华佗散
急性子洗剂
利水调经汤
癫狂霹雳散
仙传化痞丸
兔脑催生丹
鹿角的入药方剂：
补肾固冲丸
加减黑神散
定坤丹
吴茱萸散
毓麟固本膏
鹿角屑汤
生乳丸
二至丸
鹿角菟丝丸
鹿角霜饮
虻虫的入药方剂：
柴胡聪耳汤
牡丹大黄汤
水蛭散
槐胶丸
解毒通脉汤
九江散
水蛭丸
化癥回生丹
金煎药
消石汤
苏木的入药方剂：
损伤膏
清上瘀血汤
红花苏木汤
吴茱萸散
伸筋草洗方
红花当归丸
攻坚败毒膏
寒托里散
立消斗大疝气方
疏风理气汤
莪术的入药方剂：
虎骨熊油膏
顺气散瘀汤
取虫丸
治血块丸
神仙导水丸
代抵当汤
疳积饼
化气四物汤
三棱化瘿丸
结核消解散
白花映山红的入药方剂：
九里香的入药方剂：
白虎丹
六月雪叶的入药方剂：
神曲茶的入药方剂：
狼毒—鸡肠狼毒的入药方剂：
干漆的入药方剂：
新订大黄(庶虫)虫汤
金精老奴丸
水蛭散
紫砂丹
猎虫丸
三棱没药丸
水蛭丸
化癥回生丹
鳖甲麦煎汤
木香硇砂丸
土阿魏的入药方剂：
黑三棱的入药方剂：
金锁丸
大沉香煨姜丸
蒲黄的入药方剂：
二黄汤
刺蓟散
蒲黄散
回生丹
蒲黄散
回生丹
蒲黄散
破瘀汤
痛经琥珀散
二母汤
小叶柳的入药方剂：
多刺绿绒蒿的入药方剂：
秋海棠根的入药方剂：
七里香的入药方剂：
七里香汤
叶上珠根的入药方剂：
牛马藤的入药方剂：
麻布七的入药方剂：
追风伞的入药方剂：
紫金莲的入药方剂：
陆英的入药方剂：
倒生莲的入药方剂：
篦子舒筋草的入药方剂：
繁缕的入药方剂：
犀牛皮的入药方剂：
犀蜈汤
石蝉草的入药方剂：
山韭菜的入药方剂：
慈姑的入药方剂：
卫生宝
龙骨饮子
呼脓长肉比天膏
万灵神膏
清凉消毒散
太乙灵丹
加味五宝丹
二陈消核汤
加味太乙膏
葵根散
犁头尖的入药方剂：
回生酒
铺地蜈蚣的入药方剂：
追骨风的入药方剂：
马蹄草的入药方剂：
兜肚方
山黄皮的入药方剂：
千层塔的入药方剂：
石榴叶的入药方剂：
南烛草煎丸
土三七的入药方剂：
立止吐血膏
三七膏
黄花仔的入药方剂：
滴水珠的入药方剂：
小白撑的入药方剂：
昆明鸡血藤的入药方剂：
调经草的入药方剂：
牡丹花的入药方剂：
立竿见影方
蛴螬的入药方剂：
百草霜膏
消石汤
消石大丸
瞿麦汤
养血地黄丸
珍珠丸
黄芩牡丹汤
当归贴
鲫鱼羹
蝮蛇头丸
千打锤的入药方剂：
丝瓜根的入药方剂：
静宁散
丝瓜酒
鸭脚艾的入药方剂：
星宿菜的入药方剂：
和血丹的入药方剂：
金丝杜仲的入药方剂：
粗叶悬钩子的入药方剂：
紫金皮的入药方剂：
甘草丸
黑膏药
抑扬散
紫金牛膝散
草乌散
消肿膏
立消神效膏
朝贵秘授神妙紫金丸
无忌紫金丸
妇宝调经汤
龙涎香的入药方剂：
戈制半夏
癫狂马宝散
肺病统系丸
回苏散
达生丹
赤霆救疫夺命丹
接骨草1的入药方剂：
韩信草的入药方剂：
紫雪花的入药方剂：
小接骨丹的入药方剂：
鹿寿草的入药方剂：
化血胆的入药方剂：
白花丹的入药方剂：
百步还阳丹的入药方剂：
蛇根草的入药方剂：
珍珠菜的入药方剂：
无名异的入药方剂：
湿痒油膏
神异四七膏
金丝接骨丹
跌打万金丸
跌打还魂丸
紫金蠲痛散
神仙保命丹
壮筋补骨丹
止渴丸
秘传紫金丹
铁棒锤的入药方剂：
古钩藤的入药方剂：
山海棠的入药方剂：
闹狗药的入药方剂：
饭团藤的入药方剂：
荃皮的入药方剂：
接骨草2的入药方剂：
接骨草散
秘传阿魏万灵膏
铁包金的入药方剂：
复方矮地茶糖浆
山羊血的入药方剂：
跌打还魂丸
小儿急惊粉
扶正辟邪丹
回天再造丸
黎洞丸
肠痈溃烂汤
神异红药丹
神效（山黎）峒丸
救绝仙丹
山羊酒
菴闾子的入药方剂：
保胎丸
补肝元柏子仁丸
补益熟干地黄丸
蓬莪术的入药方剂：
清热调血汤
济世丹
褐丸子
槟榔枳壳丸
枳壳煎丸
蛇黄紫金丹
大茱萸丸
坤宁散
妇女紫金丹
小三棱煎
夏至草的入药方剂：
爬树龙的入药方剂：
红花子的入药方剂：
消渴丹
红花丸
阿魏麝香散
逐血破瘀汤
葫芦汤
川芎柴胡汤
小儿癖积膏
千金消癖丸
阳和膏
贴癖神应膏
百部还魂的入药方剂：
白背三七茎叶的入药方剂：
白牛膝的入药方剂：
炎消汤
青刺尖的入药方剂：
金线草根的入药方剂：
排钱草根的入药方剂：
茅膏菜的入药方剂：
野牡丹根的入药方剂：
鸡血七的入药方剂：
线叶蓟的入药方剂：
对叶草的入药方剂：
绵枣儿的入药方剂：
蜘蛛抱蛋的入药方剂：
红芋的入药方剂：
大驳骨的入药方剂：
大绿藤的入药方剂：
大浮萍的入药方剂：
倒生根的入药方剂：
榕树叶的入药方剂：
牛嗓管树的入药方剂：
鱼藤的入药方剂：
青娘子的入药方剂：
二娘子散
寸金塌气丸
秘传宁痒散
发背膏
固真丹
拨云膏
青竹标的入药方剂：
南瓜七的入药方剂：
龙船花根的入药方剂：
蝙蝠葛的入药方剂：
水茄的入药方剂：
紫云英子的入药方剂：
鸡血李的入药方剂：
龙船花的入药方剂：
鞭打绣球的入药方剂：
鞭打绣球的入药方剂：
芦子藤的入药方剂：
地锦的入药方剂：
复方地锦片
立止咳血膏
百花膏
地锦汤
豆蒸丸
熏洗汤
地胆散
漏芦散
漏芦散
锈钉子的入药方剂：
天韭的入药方剂：
走茎丹参的入药方剂：
鲛鱼的入药方剂：
落花生枝叶的入药方剂：
草灵脂的入药方剂：
蜀葵花的入药方剂：
止痛出毒散
神仙万应膏
蜀葵花散
经进追异玄元丹
独脚虎
陈皮葵根汤
抵圣散
树萝卜的入药方剂：
珍珠梅的入药方剂：
及已的入药方剂：
虾子草的入药方剂：
大二郎箭的入药方剂：
寄生藤的入药方剂：
止血丹的入药方剂：
姜三七的入药方剂：
双飞蝴蝶的入药方剂：
粽巴叶的入药方剂：
螳螂跌打的入药方剂：
漏斗菜的入药方剂：
茅莓的入药方剂：
姜叶三七的入药方剂：
海尼豆瓣绿的入药方剂：
大萼鹿角藤的入药方剂：
小牛力的入药方剂：
小铜锤的入药方剂：
画眉草的入药方剂：
接骨仙桃的入药方剂：
大独叶草的入药方剂：
毛青杠的入药方剂：
爬山猴的入药方剂：
九龙吐珠的入药方剂：
毛八角莲的入药方剂：
苍条鱼鳖的入药方剂：
石瓜子莲的入药方剂：
水胡满的入药方剂：
铜罗伞的入药方剂：
地苏木的入药方剂：
紫地汤
水泽兰的入药方剂：
水晶花的入药方剂：
水蕨的入药方剂：
铁草鞋的入药方剂：
麻花的入药方剂：
十三味榜嘎散
睡圣散
硇砂线
逡巡酒
大排风散
葛上亭长的入药方剂：
发疱膏
蝮蛇头丸
乌癞白癞丸
芫菁散
葛上亭长丸
承泽丸
石菖蒲花的入药方剂：
一味药根的入药方剂：
鲮鲤的入药方剂：
封裹虎骨膏
雄黄暖膏药
狸骨知母散
神效猬皮散
鲮鲤甲贴熁膏
藤子散
五骨散
鲮鲤甲丸
地龙饼子
辟温杀鬼丸
猪毛蕨的入药方剂：
独角芋的入药方剂：
月季花叶的入药方剂：
蓼子草的入药方剂：
榈木的入药方剂：
树葱的入药方剂：
活血连的入药方剂：
蝉翼藤的入药方剂：
上山龙的入药方剂：
八角枫叶的入药方剂：
桑蠹虫的入药方剂：
鹩哥舌的入药方剂：
桂花跌打的入药方剂：
大蛇药的入药方剂：
龙葵根的入药方剂：
龙葵膏
柳木耳饼
龙葵根散
錾菜的入药方剂：
鸦葱的入药方剂：
醋柳果的入药方剂：
青丝线的入药方剂：
兔儿风的入药方剂：
红升麻的入药方剂：
蟹壳的入药方剂：
三请诸葛
七灰散
独妙散
六合散
矮人陀的入药方剂：
牛耳草的入药方剂：
石羊菜的入药方剂：
油茶根皮的入药方剂：
红蓝地花的入药方剂：
单刀根的入药方剂：
女娄菜的入药方剂：
接骨木叶的入药方剂：
番木瓜叶的入药方剂：
披麻草根的入药方剂：
