匙叶草(红客妈叶、红虾蟆叶),,,,,,,,,
红榔木(大树皮、棉榔树),,,,,,,,,
马蹬草(过桥草、还阳草、小石韦),,,,,,,,,
狮子七(红景天、土三七),,,,,,,,,
杭白菊花(甘菊),,,,,,,,,
独一味(巴拉努努、吉布孜、麦朵昌巴、哈努巴拉、札江温保、哈吾巴拉、达干木、达折合巴、野秦艽、大巴、打布巴),,,,,,,,,
藏红花(撒法即,番红花,西红花),,,,,,,
粗叶悬钩子(大叶蛇泡竻、大破布刺、老虎泡、虎掌竻，九月泡(广州部队《常用中草药手册》)，八月泡、牛尾泡、大竻坛(《广西中草药》)。),,,,,,,,,
紫金皮(火把草、胖关藤、掉毛草(《云南中草药》)，紫金藤(《云南中草药选》)，黄藤根(《广西植物名录》)。),,,,,,,,,
龙涎香(龙尿(《酉阳杂俎》)，龙腹香。),,,,,,,,,
接骨草1(红母鸡药(《南宁市药物志》)，红毛母鸡、壮阳草(《广西药植名录》)。),,,,,,,,,
韩信草(大力草、耳挖草(《生草药性备要》)，金茶匙(《本革求原》)，大韩信草(《南宁市药物志》)，顺经草(《贵阳民间药草》)，调羹草、红叶犁头尖(《湖南药物志》)，大叶半枝莲、笑花草(《广西中草药》)，虎咬癀、向天盏(《福建中草药》)。),,,,,,,,,
紫雪花(紫花丹(《广州植物志》)，谢三娘(《陆川本草》)，红花丹(《广西植物名录》)。),,,,,,,,,
小接骨丹(活血丹、葎叶白蔹、七角白蔹。),,,,,,,,,
鹿寿草(鹿寿茶、鹿衔草(《陕西中药志》)。),,,,,,,,,
化血胆(红根草),,,,,,,,,
白花丹(山坡芩、假茉莉、总管(《生草药性备要》)，千里及、乌面马(《植物名汇》)，白雪花(《广州植物志》)，野苜莉、隔布草(《福建民间草药》)，千槟梅、照药(《广西药植图志》)，天槟榔(《南宁市药物志》)，白皂药、白花皂药(《四川中药志》)，一见消(广州部队《常用中草药手册》)，白花岩陀(《云南中草药》)。),,,,,,,,,
百步还阳丹(鸟巢兰),,,,,,,,,
蛇根草(四季花、雪里开花(《浙江民间草药》)，雪里梅(《浙江民间常用草药》)。),,,,,,,,,
珍珠菜(扯根菜、矮桃(《植物名实图考》)，狗尾巴草(《南京民间药草》)，山高梁、山地榆、山酸汤秆、黄参草、大红袍、山马尾(《贵州民间方药集》)，通筋草、白花蓼草(《浙江中医杂志》(12):31，1958)，蓼子草(《贵阳民间药草》)，红根草(《浙江中药资源名录》)，野荷子、荷树草、金鸡土下黄、红头绳、水荷子、矮脚荷、赤脚草(《江西草药》)，红丝毛、高脚酸味草、大酸米草、酸罐罐(《陕西中草药》)，狼尾草(《江苏药材志》)。),,,,,,,,,
无名异(土子(《盛京通志》)，干子(《本草求真》)，秃子(《青海药材》)，铁砂(《药材学》)。),,,,,,,,,
铁棒锤(铁牛七(《陕西中草药》)，一枝箭、三转半(《药学学报》12(10)：690，1965)。),,,,,,,,,
古钩藤(白叶藤(《药学学报》(9)：,561，1963)，白马连鞍、牛角蘑，断肠草(《广西药植名录》)，大暗消、半架牛、白都宗、白浆藤(《云南中草药》)。),,,,,,,,
山海棠(水八角、金蝉脱壳、红耗儿、酸草果、腰包花、化血丹(《云南中草药》)，一口血、大麻酸汤杆(《文山中草药》)，野海棠、白棉胡、老鸦枕头(《昆明民间常用草药》)。),,,,,,,,,
闹狗药(小鸡骨常山、见血飞。),,,,,,,,,
饭团藤(风沙藤、过山风、黑老虎(《岭南采药录》)，十八症(《陆川本草》)，臭饭团、过山龙藤(《海南植物志》)，大饭团藤、血藤、大叶钻骨风、鸡肠风(《广西药植名录》)，绯红南五味子(江西《草药手册》)，酒饭团(《农村中草药制剂技术》)。),,,,,,,,,
荃皮(全皮、前皮(《中药志》)，小柳拐、山救驾(《陕西中草药》)。),,,,,,,,,
接骨草2(白龙骨、冷坑兰、冷坑青、猢狲接竹、痱痒草、血和山、乌骨麻、赤车使者(《浙江民间常用草药》)。),,,,,,,,,
铁包金(乌龙根、勾儿茶、乌口仔、小叶铁包金、假榄仔(《广东中药》)，细纹勾儿茶(广州部队《常用中草药手册》)。),,,,,,,,,
山羊血(青羊血),,,,,,,,,
菴闾子,,,,,,,,,
蓬莪术(蓬莪茂(《药性论》)，蒁药(《唐本草》)，蓬莪蒁(《日华子本草》)，广茂(《珍珠囊》)，蓬术(《普济方》)，莪蒁(《本草备要》)，蓬蒁(《本经逢原》)，羌七(《生草药性备要》)，广术(《本草求真》)，黑心姜(《岭南采药录》)，文术(《四川中药志》)。),,,,,,,,,
夏至草(夏枯草、白花夏枯(《滇南本草》)，灯笼棵(《江苏植药志》)，风轮草(《陕西中草药》)。),,,,,,,,,
爬树龙(过山龙、过江龙、青竹标、金草箍、麒麟叶(《云南中草药选》)。),,,,,,,,,
红花子(红蓝子(《广利方》)，白平子(《药材资料汇编》)。),,,,,,,,,
